Year	Lowest	Second	Third	Fourth	Top_5	SNP
2014	21432	41186	68212	112262	206568	1926.66917
2013	21242	40845	66573	107643	199207	1618.35251
2012	21240	41002	66592	107336	197107	1372.58665
2011	21329	40549	65722	106932	195795	1281.39666
2010	21717	41263	66780	108617	195981	1120.58916
2009	22568	42537	68193	110343	198618	930.48168
2008	22775	42884	68972	110223	197926	1262.03415
2007	23169	44645	70793	114183	202103	1473.58835
2006	23525	44354	70452	113936	204326	1304.93085
2005	23249	43642	69899	111171	201237	1204.73917
2004	23169	43459	69222	110296	196964	1125.62833
2003	23149	43765	70092	111815	198382	948.58833
2002	23576	43922	69957	110559	197392	1010.94333
2001	24029	44547	70870	111654	201244	1200.10331
2000	24635	45365	71724	112404	199634	1432.14333
1999	24356	45369	71612	112615	201829	1310.58167
1998	23394	44140	70165	108869	191898	1066.28917
1997	22657	42960	67677	105193	186185	856.72167
1996	22197	41724	66142	102228	179672	664.445
1995	22230	41548	64839	100533	174440	533.82084
1994	21225	39839	63394	99346	173617	461.2425
1993	20928	39830	62609	97319	168879	450.905
1992	20838	39923	62680	95934	163762	415.55834
1991	21351	40698	62862	96250	163471	374.28416
1990	21968	41585	63620	97020	166515	334.61833
1989	22306	42415	65189	99047	169198	320.00833
1988	21895	41359	64455	97324	164743	265.4975
1987	21538	40882	63817	96449	161392	285.45166
1986	21126	40408	62713	94799	158965	236.2225
1985	20866	39259	60818	91469	151135	185.29167
1984	20625	38601	59471	89837	148716	160.12083
1983	20237	37629	57753	87280	143598	158.70667
1982	19793	37645	57519	85772	141585	118.7325
1981	20048	37478	57967	85701	137921	128.97583
1980	20463	38376	58833	86143	138630	117.26
1979	21300	39557	60860	88243	142589	102.3275
1978	21048	39797	60215	87576	140103	95.48667
1977	20412	38447	58603	85437	135275	98.495
1976	20455	38110	58055	83525	132459	101.35167
1975	20012	37558	56753	81487	128590	85.3475
1974	21050	39046	57697	83736	132536	83.88417
1973	20949	40283	59602	85816	137929	108.19
1972	20503	39488	58362	83533	134437	108.45167
1971	19815	37773	55585	79259	125865	97.41667
1970	20073	38454	55931	79798	126139	83.44333
1969	20417	39177	56659	79383	124500	98.57083
1968	19824	37584	53870	75693	118419	97.99917
1967	18599	36268	51476	73404	117793	90.8375
